S.NO.,STATE NAME,District name
Andhra Pradesh ,SH,Kadapa
Andhra Pradesh ,SH,Visakhapatnam
Andhra Pradesh ,SH,Vizianagaram
Arunachal Pradesh,ADESH,Namsai
Assam,,Barpeta
Assam,,Darrang
Assam,,Dhubri
Assam,,Goalpara
Assam,,Hailakandi
Assam,,Baksa
Assam,,Udalguri
Bihar ,,Araria
Bihar ,,Aurangabad
Bihar ,,Banka
Bihar ,,Begusarai
Bihar ,,Gaya
Bihar ,,Jamui
Bihar ,,Katihar
Bihar ,,Khagaria
Bihar ,,Muzaffarpur
Bihar ,,Nawada
Bihar ,,Purnia
Bihar ,,Sheikhpura
Bihar ,,Sitamarhi
Chhattisgarh,,Bastar
Chhattisgarh,,Dantewada
Chhattisgarh,,Kanker
Chhattisgarh,,Korba
Chhattisgarh,,Mahasamund
Chhattisgarh,,Rajnandagaon
Chhattisgarh,,Bijapur
Chhattisgarh,,Narayanpur
Chhattisgarh,,Sukma
Chhattisgarh,,Kondagaon
Gujarat,,Dohad
Gujarat,,Narmada
Haryana,,Nuh
Himachal Pradesh,DESH,Chamba
Jammu & Kashmir,SHMIR,Baramulla
Jammu & Kashmir,SHMIR,Kupwara
Jharkhand,,Bokaro
Jharkhand,,Chatra
Jharkhand,,Dumka
Jharkhand,,East singhbhum
Jharkhand,,Garhwa
Jharkhand,,Giridih
Jharkhand,,Godda
Jharkhand,,Gumla
Jharkhand,,Hazaribag
Jharkhand,,Latehar
Jharkhand,,Lohardaga
Jharkhand,,Pakur
Jharkhand,,Palamu
Jharkhand,,Ranchi
Jharkhand,,Sahibganj
Jharkhand,,Simdega
Jharkhand,,West singhbhum
Jharkhand,,Khunti
Jharkhand,,Ramgarh
Karnataka,,Gadag
Karnataka,,Kalaburagai
Kerala,,Wayanad
Madhya Pradesh,ESH,Barwani
Madhya Pradesh,ESH,Chatttarpur
Madhya Pradesh,ESH,Damoh
Madhya Pradesh,ESH,East nimar
Madhya Pradesh,ESH,Guna
Madhya Pradesh,ESH,Rajgarh
Madhya Pradesh,ESH,Vidisha
Madhya Pradesh,ESH,Singrauli
Maharashtra,,Gadchiroli
Maharashtra,,Jalgaon
Maharashtra,,Nandurbar
Maharashtra,,Osmanabad
Manipur,,Chandel
Meghalaya,,Ri bhoi
Mizoram,,Mamit
Nagaland,,Kiphrie
Odisha,,Balangir
Odisha,,Dhenkanal
Odisha,,Gajapati
Odisha,,Kalahandi
Odisha,,Kandhamal
Odisha,,Koraput
Odisha,,Malkangiri
Odisha,,Nabarangapur
Odisha,,Nuapara
Odisha,,Rayagada
Punjab,,Ferozepur
Punjan,,Moga
Rajasthan,,Baran
Rajasthan,,Dholpur
Rajasthan,,Jaisalmer
Rajasthan,,Karauli
Rajasthan,,Sirohi
Sikkim,,Gyalshing
Tamil Nadu,,Ramanathapuram
Tamil Nadu,,Virudhunagar
Telangana,,Adilabad
Telangana,,Khammam
Telangana,,Warangal rural
Tripura,,Dhalai
Uttar Pradesh,SH,Bahraich
Uttar Pradesh,SH,Balrampur
Uttar Pradesh,SH,Chandauli
Uttar Pradesh,SH,Chitrakoot
Uttar Pradesh,SH,Fatehpur
Uttar Pradesh,SH,Shravasti
Uttar Pradesh,SH,Siddharthnagar
Uttar Pradesh,SH,Sonbhadra
Uttarakhand,,Haridwar
Uttarakhand,D,Udham singh nagar
West Bengal,,Birbhum
West Bengal,,Dakshin dinajpur
West Bengal,,Nadia
