State,District,Population_Share_district,MPI_District,Headcount_Ratio,Intensity_of_Deprivation,Total_Population,,Number_of_MPI_PeopleDistrict_InThousand,Number_of_MPI_PeopleDistrict
Andaman And Nicobar Islands,Nicobars,0.00%,0.012,3.1,37,28,"13,24,171",1,1000
Andaman And Nicobar Islands,North & Middle Andaman,0.01%,0.064,16.5,39.1,104,"13,24,171",17,17000
Andaman And Nicobar Islands,South Andaman,0.02%,0.013,3.4,38.9,261,"13,24,171",9,9000
Andhra Pradesh,Anantapur,0.32%,0.065,16.5,39,"4,186","13,24,171",692,692000
Andhra Pradesh,Chittoor,0.33%,0.05,12.9,38.8,"4,396","13,24,171",568,568000
Andhra Pradesh,East Godavari,0.44%,0.041,10.3,40.2,"5,793","13,24,171",596,596000
Andhra Pradesh,Guntur,0.39%,0.042,10.6,39.6,"5,185","13,24,171",551,551000
Andhra Pradesh,Krishna,0.37%,0.047,12,39.3,"4,924","13,24,171",592,592000
Andhra Pradesh,Kurnool,0.35%,0.102,23.9,42.6,"4,597","13,24,171","1,100",1100000
Andhra Pradesh,Prakasam,0.27%,0.08,18.8,42.8,"3,555","13,24,171",667,667000
Andhra Pradesh,Sri Potti Sriramulu Nellore,0.24%,0.059,14,42,"3,240","13,24,171",454,454000
Andhra Pradesh,Srikakulam,0.21%,0.079,19.7,39.8,"2,837","13,24,171",560,560000
Andhra Pradesh,Visakhapatnam,0.35%,0.078,17.6,44.2,"4,571","13,24,171",804,804000
Andhra Pradesh,Vizianagaram,0.18%,0.092,22.7,40.5,"2,431","13,24,171",551,551000
Andhra Pradesh,West Godavari,0.30%,0.045,11.8,38.5,"4,032","13,24,171",475,475000
Andhra Pradesh,Y.S.R.,0.23%,0.048,11.8,40.9,"3,003","13,24,171",356,356000
Arunachal Pradesh,Anjaw,0.00%,0.099,24.5,40.3,19,"13,24,171",5,5000
Arunachal Pradesh,Changlang,0.01%,0.129,28.9,44.7,138,"13,24,171",40,40000
Arunachal Pradesh,Dibang Valley,0.00%,0.071,18.3,38.6,3,"13,24,171",1,1000
Arunachal Pradesh,East Kameng,0.00%,0.191,41.9,45.5,65,"13,24,171",27,27000
Arunachal Pradesh,East Siang,0.01%,0.037,9.5,39.2,67,"13,24,171",6,6000
Arunachal Pradesh,Kurung Kumey,0.01%,0.161,36.5,44.1,67,"13,24,171",24,24000
Arunachal Pradesh,Lohit,0.01%,0.155,31.6,49,131,"13,24,171",41,41000
Arunachal Pradesh,Lower Dibang Valley,0.00%,0.107,25.2,42.5,47,"13,24,171",12,12000
Arunachal Pradesh,Lower Subansiri,0.00%,0.06,14.4,41.4,52,"13,24,171",7,7000
Arunachal Pradesh,Papumpare,0.01%,0.047,11,42.4,175,"13,24,171",19,19000
Arunachal Pradesh,Tawang,0.00%,0.124,29.7,41.9,27,"13,24,171",8,8000
Arunachal Pradesh,Tirap,0.01%,0.137,30.7,44.6,110,"13,24,171",34,34000
Arunachal Pradesh,Upper Siang,0.00%,0.082,21.7,37.7,20,"13,24,171",4,4000
Arunachal Pradesh,Upper Subansiri,0.00%,0.12,29,41.5,63,"13,24,171",18,18000
Arunachal Pradesh,West Kameng,0.00%,0.08,19.2,41.9,65,"13,24,171",13,13000
Arunachal Pradesh,West Siang,0.01%,0.058,14,41.8,85,"13,24,171",12,12000
Assam,Baksa,0.07%,0.105,25.8,40.7,974,"13,24,171",252,252000
Assam,Barpeta,0.13%,0.176,40.6,43.4,"1,732","13,24,171",703,703000
Assam,Bongaigaon,0.06%,0.146,34.6,42.2,742,"13,24,171",257,257000
Assam,Cachar,0.14%,0.224,46.8,47.8,"1,900","13,24,171",890,890000
Assam,Chirang,0.04%,0.166,39.4,42.2,476,"13,24,171",188,188000
Assam,Darrang,0.08%,0.191,42.4,45.1,996,"13,24,171",422,422000
Assam,Dhemaji,0.05%,0.136,33.4,40.8,704,"13,24,171",235,235000
Assam,Dhubri,0.16%,0.242,51.8,46.8,"2,127","13,24,171","1,103",1103000
Assam,Dibrugarh,0.10%,0.139,30.9,45.1,"1,378","13,24,171",426,426000
Assam,Dima Hasao,0.01%,0.159,34.4,46.2,193,"13,24,171",67,67000
Assam,Goalpara,0.08%,0.195,41.2,47.3,"1,038","13,24,171",428,428000
Assam,Golaghat,0.08%,0.104,24.4,42.4,"1,092","13,24,171",267,267000
Assam,Hailakandi,0.06%,0.268,56.9,47,779,"13,24,171",443,443000
Assam,Jorhat,0.09%,0.099,23.6,42,"1,173","13,24,171",276,276000
Assam,Kamrup,0.12%,0.107,25.4,42.3,"1,577","13,24,171",401,401000
Assam,Kamrup Metropolitan,0.09%,0.056,13.2,42.6,"1,163","13,24,171",153,153000
Assam,Karbi Anglong,0.07%,0.191,43.2,44.3,900,"13,24,171",389,389000
Assam,Karimganj,0.11%,0.223,47.8,46.7,"1,404","13,24,171",671,671000
Assam,Kokrajhar,0.07%,0.154,35.8,43.1,870,"13,24,171",312,312000
Assam,Lakhimpur,0.08%,0.127,29.5,43.1,"1,041","13,24,171",307,307000
Assam,Morigaon,0.07%,0.182,41.6,43.8,986,"13,24,171",410,410000
